channel_name	filename	group_label	position_label	binning	channel_number	continuous_focus_offset	continuous_focus_bool	exposure	group_number	group_order	matlab_serial_date_number	position_number	position_order	settings_number	settings_order	timepoint	x	y	z	z_order
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t69_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.543	4	4	2	2	69	18583	53099	4193.200062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t70_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.5562	4	4	1	1	70	18583	53099	4192.775062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t70_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.5562	4	4	2	2	70	18583	53099	4192.775062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t71_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.5694	4	4	1	1	71	18583	53099	4193.075062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t71_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.5694	4	4	2	2	71	18583	53099	4193.075062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t72_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.5826	4	4	1	1	72	18583	53099	4192.600062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t72_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.5826	4	4	2	2	72	18583	53099	4192.600062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t73_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.5959	4	4	1	1	73	18583	53099	4192.925062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t73_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.5959	4	4	2	2	73	18583	53099	4192.925062	1
Cy5_5	group1_pos4_x4_y1USA_s4_w2Cy5_5_t74_z1.tiff	group1	pos4_x4_y1	2	2	186.25	1	1100	1	1	735822.6092	4	4	1	1	74	18583	53099	4192.925062	1
YFP	group1_pos4_x4_y1USA_s4_w7YFP_t74_z1.tiff	group1	pos4_x4_y1	2	7	186.25	1	400	1	1	735822.6092	4	4	2	2	74	18583	53099	4192.925062	1
